artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Twenty One Pilots;Heathens;195920;2016;90.024;rock;0.396;4;-9.348
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
Destiny's Child;Say My Name;271333;1999;138.009;pop, R&B;0.678;5;-3.525
JAY-Z;Run This Town;267520;2009;86.844;hip hop;0.924;1;-1.802
A1;Caught in the Middle;206466;2001;96.072;pop;0.874;5;-5.122
James Blunt;1973;280026;2007;123.007;pop;0.668;9;-7.928
Kanye West;Homecoming;203493;2007;86.917;hip hop;0.747;1;-7.059
Charlie Puth;We Don't Talk Anymore (feat. Selena Gomez);217706;2016;100.017;pop;0.563;1;-8.053
Jax Jones;Breathe;207629;2017;125.985;hip hop, pop, Dance/Electronic;0.744;11;-5.52
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;150533;2015;127.919;pop, Dance/Electronic;0.923;7;-4.525
Sam Smith;"Writing's On The Wall - From ""Spectre"" Soundtrack";278987;2015;81.418;pop;0.302;5;-8.19
Sam Smith;Too Good At Goodbyes;201000;2017;91.873;pop;0.372;5;-8.237
Post Malone;Psycho (feat. Ty Dolla $ign);221440;2018;140.06;hip hop;0.56;8;-8.094
Trey Songz;Say Aah (feat. Fabolous);207546;2009;93.01;hip hop, pop, R&B;0.87;1;-3.614
Dizzee Rascal;Dance Wiv Me - Radio Edit;204093;2011;111.996;hip hop, pop, Dance/Electronic;0.746;11;-4.281
Manic Street Preachers;Your Love Alone Is Not Enough (feat. Nina Persson);235693;2007;126.766;rock, pop;0.921;2;-3.049
Zara Larsson;Never Forget You;213427;2017;145.992;pop, Dance/Electronic;0.732;11;-5.728
Evanescence;Bring Me To Life;235893;2003;94.612;metal;0.943;4;-3.188
Ruff Endz;No More;242560;2000;97.004;R&B;0.641;10;-5.669
No Doubt;Hella Good;242586;2001;115.142;rock, pop;0.665;8;-3.954
Lykke Li;I Follow Rivers - The Magician Remix;281106;2011;122.019;pop, Dance/Electronic;0.709;9;-5.737
Little Mix;Shout Out to My Ex;246240;2017;126.014;pop;0.747;5;-4.061
Mark Ronson;Uptown Funk (feat. Bruno Mars);269666;2015;114.988;pop;0.609;0;-7.223
Bad Bunny;Callaita;250533;2019;176.169;latin;0.624;2;-4.773
Alesso;Years - ラジオ・エディット;195480;2012;128.008;pop, Dance/Electronic;0.823;2;-6.245
